SR,y_test,y_pred
0.1,54.602,54.52405
0.1,80.211,79.94604
0.1,52.033,52.230602
0.1,57.21,57.713474
0.3,60.847,61.274624
0.1,75.765,75.98935
0.1,165.075,161.90855
0.1,158.209,159.26486
0.2,148.2,147.66685
0.2,79.1,79.15579
0.2,78.575,78.422905
0.3,64.858,64.79878
0.2,153.75,154.0432
0.2,42.387,42.41346
0.1,183.25,182.63806
0.2,60.675,60.669636
0.1,42.315,42.476433
0.2,44.912,45.121296
0.3,80,79.291336
0.1,77.733,78.73702
0.1,71.535,71.45648
0.3,75.325,74.941795
0.1,144.92,145.32896
0.2,56.733,57.257553
0.2,61.515,61.43628
0.3,51.68,52.54017
0.3,75.105,74.63337
0.3,50.95,52.48409
0.2,191.6,192.01988
0.3,40.785,40.896465
0.3,41.655,41.548996
0.1,48.685,48.810726
0.2,173.45,172.90755
0.3,190,192.72487
0.1,158.265,159.24146
0.1,57.775,57.993256
0.2,192.8,192.06816
0.1,173.5,173.25185
0.3,153.35,154.5804
0.2,158.32,158.11794
0.1,78.66,78.29082
0.1,60.908,61.075665
0.2,64.982,64.33799
0.3,59.585,59.458767
0.2,65.342,65.48511
0.1,53.615,53.56695
0.3,58.015,59.457733
0.1,148.03,147.7942
0.1,62.425,61.611164
0.2,78.733,78.649635
0.2,58.605,58.41819
0.1,58.395,58.466503
0.3,60.745,60.175083
0.1,173.4,173.56056
0.2,79.585,80.166275
0.1,124.1,122.67026
0.1,65.015,64.503914
0.1,75.525,74.59227
0.3,149.58,149.76128
0.1,65.408,65.834526
0.2,74.415,74.48829
0.1,192.1,192.13701
0.2,50.305,49.94132
0.1,121.825,120.304794
0.3,46.15,47.633442
0.2,41.85,41.797253
0.3,158.055,157.92036
0.1,61.085,61.082462
0.2,158.31,157.89992
0.1,173.75,173.14641
0.1,41.435,41.361526
0.1,150.08,150.16878
0.2,65.008,64.4031
0.1,79.285,79.23743
0.1,155.35,154.96355
0.3,42.54,41.7904
0.3,180.9,181.29193
0.2,64.012,63.57946
0.1,61.995,59.340935
0.2,80.065,79.685005
0.1,55.875,56.256733
0.2,74.333,74.3356
0.2,58.045,58.560143
0.1,80.145,79.74984
0.1,57.385,57.541584
0.1,130.58,130.70216
0.1,52.66,53.08525
0.3,150.04,149.85547
0.1,61.347,61.303596
0.3,58.025,59.523846
0.3,157.735,157.45853
0.1,60.575,57.969517
0.1,71.468,71.42463
0.1,70.312,70.54523
0.2,64.965,64.38981
0.3,191.5,192.19327
0.1,147.85,148.15555
0.1,45.809,45.576412
0.2,61.4,61.208347
0.3,60.365,61.0497
0.2,173.5,173.26938
0.1,41.975,41.479633
0.1,42.045,41.494843
0.3,173.5,172.05219
0.1,41.371,41.481415
0.2,157.95,158.96928
0.2,64.485,64.33971
0.1,65.075,64.47873
0.1,76.052,76.287476
0.1,57.385,56.92611
0.1,158.04,158.70738
0.1,119.39,119.42827
0.2,78.315,77.77831
0.1,62.285,61.607197
0.3,57.285,56.850315
0.1,37.2,37.290596
0.3,42.37,41.892742
0.3,60.327,60.57565
0.1,53.15,53.756905
0.1,57.49,58.20257
0.3,75.645,75.39358
0.3,40.49,40.76517
0.2,45.46,44.88757
0.1,78.5,77.94325
0.3,147.22,147.54243
0.2,58.533,58.263763
0.1,123.64,122.35222
0.2,76.685,76.66674
